행정구역,2026년02월_계_총인구수,2026년02월_계_연령구간인구수,2026년02월_계_0~9세,2026년02월_계_10~19세,2026년02월_계_20~29세,2026년02월_계_30~39세,2026년02월_계_40~49세,2026년02월_계_50~59세,2026년02월_계_60~69세,2026년02월_계_70~79세,2026년02월_계_80~89세,2026년02월_계_90~99세,2026년02월_계_100세 이상
서울특별시  (1100000000),"9,304,129","9,304,129","458,247","719,748","1,247,112","1,461,351","1,364,041","1,470,032","1,318,104","837,711","369,688","56,640","1,455"
서울특별시 종로구 (1111000000),"136,764","136,764","5,041","9,182","20,095","19,786","18,091","22,774","20,979","12,680","6,864","1,237",35
서울특별시 종로구 청운효자동(1111051500),"10,814","10,814",488,996,"1,235","1,508","1,710","1,842","1,425",938,572,97,3
서울특별시 종로구 사직동(1111053000),"8,907","8,907",383,598,"1,012","1,433","1,369","1,470","1,286",747,493,111,5
서울특별시 종로구 삼청동(1111054000),"2,099","2,099",66,155,210,272,287,316,358,259,142,34,0
서울특별시 종로구 부암동(1111055000),"8,904","8,904",329,733,"1,023","1,169","1,317","1,575","1,368",840,450,96,4
서울특별시 종로구 평창동(1111056000),"16,974","16,974",860,"1,506","1,748","1,962","2,386","2,960","2,865","1,574",875,229,9
서울특별시 종로구 무악동(1111057000),"7,657","7,657",473,843,784,792,"1,201","1,359","1,101",660,385,59,0
서울특별시 종로구 교남동(1111058000),"9,428","9,428",618,736,"1,048","1,382","1,567","1,690","1,173",780,377,57,0
서울특별시 종로구 가회동(1111060000),"3,594","3,594",125,281,321,504,536,644,552,382,212,36,1
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,642","6,642",141,217,911,"1,042",805,"1,051","1,239",806,373,54,3
서울특별시 종로구 종로5.6가동(1111063000),"5,402","5,402",135,203,"1,168",991,579,768,800,461,260,36,1
서울특별시 종로구 이화동(1111064000),"7,028","7,028",144,335,"1,496","1,255",798,983,972,627,360,57,1
서울특별시 종로구 혜화동(1111065000),"15,723","15,723",426,"1,184","4,183","2,050","1,801","2,298","1,733","1,143",771,128,6
서울특별시 종로구 창신제1동(1111067000),"4,392","4,392",91,145,515,610,444,731,"1,022",544,258,32,0
서울특별시 종로구 창신제2동(1111068000),"7,154","7,154",140,268,765,882,721,"1,488","1,556",876,395,63,0
서울특별시 종로구 창신제3동(1111069000),"6,090","6,090",248,364,685,925,727,"1,083","1,106",605,294,52,1
서울특별시 종로구 숭인제1동(1111070000),"5,679","5,679",164,312,668,784,770,"1,040",999,613,278,50,1
서울특별시 종로구 숭인제2동(1111071000),"10,277","10,277",210,306,"2,323","2,225","1,073","1,476","1,424",825,369,46,0
서울특별시 중구 (1114000000),"117,625","117,625","4,854","5,861","15,575","21,165","16,084","17,779","17,858","11,578","5,835","1,014",22
서울특별시 중구 소공동(1114052000),"2,179","2,179",137,149,208,416,548,329,204,126,52,10,0
서울특별시 중구 회현동(1114054000),"4,076","4,076",126,203,369,529,464,670,803,581,269,61,1
서울특별시 중구 명동(1114055000),"2,468","2,468",46,114,293,304,317,440,447,309,163,35,0
서울특별시 중구 필동(1114057000),"4,313","4,313",120,198,809,850,541,569,564,405,197,58,2
서울특별시 중구 장충동(1114058000),"4,554","4,554",92,271,"1,300",631,474,564,532,421,233,36,0
서울특별시 중구 광희동(1114059000),"5,705","5,705",113,170,"1,066","1,323",667,718,819,531,265,32,1
서울특별시 중구 을지로동(1114060500),"3,018","3,018",134,88,351,849,545,356,364,220,99,12,0
서울특별시 중구 신당동(1114061500),"7,367","7,367",205,240,"1,189","1,363",932,"1,112","1,165",749,354,56,2
서울특별시 중구 다산동(1114062500),"12,982","12,982",371,652,"1,779","2,152","1,653","2,118","2,115","1,336",694,111,1
서울특별시 중구 약수동(1114063500),"15,686","15,686",718,824,"1,541","2,311","2,032","2,512","2,654","1,868","1,023",199,4
서울특별시 중구 청구동(1114064500),"10,678","10,678",507,595,"1,119","1,937","1,309","1,670","1,702","1,123",626,89,1
서울특별시 중구 신당제5동(1114065000),"9,925","9,925",390,481,"1,247","1,876","1,381","1,585","1,551",908,440,65,1
서울특별시 중구 동화동(1114066500),"9,713","9,713",526,669,"1,009","1,269","1,310","1,678","1,703",973,480,96,0
서울특별시 중구 황학동(1114067000),"13,108","13,108",546,478,"2,035","3,291","1,900","1,642","1,657","1,036",451,69,3
서울특별시 중구 중림동(1114068000),"11,853","11,853",823,729,"1,260","2,064","2,011","1,816","1,578",992,489,85,6
서울특별시 용산구 (1117000000),"201,494","201,494","9,786","12,702","26,201","37,095","29,072","31,831","28,154","16,390","8,597","1,613",53
서울특별시 용산구 후암동(1117051000),"15,673","15,673",570,"1,048","1,966","2,880","2,205","2,508","2,285","1,399",704,102,6
서울특별시 용산구 용산2가동(1117052000),"8,459","8,459",196,376,"1,166","1,690","1,146","1,168","1,236",916,477,85,3
서울특별시 용산구 남영동(1117053000),"6,999","6,999",152,187,805,"1,337",767,"1,288","1,439",685,295,41,3
서울특별시 용산구 청파동(1117055500),"18,656","18,656",424,902,"3,891","3,562","2,078","2,832","2,542","1,520",797,103,5
서울특별시 용산구 원효로제1동(1117056000),"17,014","17,014",990,931,"2,630","4,289","2,631","2,303","1,783",973,403,80,1
